p,n,benchid,solverid,result,time,timeout
3,360,1812,20,0,0.72,1200
3,360,1812,21,0,1200,1200
3,360,1812,22,0,1200,1200
3,360,1812,24,0,0.01,1200
3,360,1812,25,10,50.88,1200
3,360,1812,26,10,61.53,1200
3,360,1812,27,10,0.11,1200
3,360,1812,28,10,0.08,1200
3,360,1812,31,10,0.11,1200
3,360,1812,32,10,3.01,1200
3,360,1812,33,10,101.01,1200
3,360,1812,34,10,144.65,1200
3,360,1812,36,0,1200,1200
3,360,1812,37,0,1200,1200
3,360,1812,38,10,312.64,1200
3,360,1812,39,10,0.12,1200
3,360,1812,40,10,378.26,1200
3,360,1812,41,10,0.26,1200
3,360,1812,42,10,0.35,1200
3,360,1813,1,0,1200,1200
3,360,1813,2,0,1200.77,1200
3,360,1813,3,0,1200.57,1200
3,360,1813,4,0,1200.92,1200
3,360,1813,5,0,1200,1200
3,360,1813,6,0,1194.2,1200
3,360,1813,7,20,260.88,1200
3,360,1813,8,20,244.76,1200
3,360,1813,9,20,215.59,1200
3,360,1813,15,0,1200,1200
3,360,1813,16,0,1197.38,1200
3,360,1813,17,0,1181.77,1200
3,360,1813,18,0,1200,1200
3,360,1813,19,0,1200,1200
3,360,1813,20,0,0.67,1200
3,360,1813,21,0,1200,1200
3,360,1813,22,0,1200,1200
3,360,1813,24,0,9.95,1200
3,360,1813,25,0,1200,1200
3,360,1813,26,0,1200,1200
3,360,1813,27,0,1200,1200
3,360,1813,28,0,1200,1200
3,360,1813,31,0,1200,1200
3,360,1813,32,0,1200,1200
3,360,1813,33,0,1200,1200
3,360,1813,34,20,813.24,1200
3,360,1813,36,0,1200,1200
3,360,1813,37,0,1200,1200
3,360,1813,38,20,983.91,1200
3,360,1813,39,0,1200,1200
3,360,1813,40,0,1196.51,1200
3,360,1813,41,20,29.68,1200
3,360,1813,42,0,1200,1200
3,360,1814,1,10,0.94,1200
3,360,1814,2,0,1200.75,1200
3,360,1814,3,10,85.44,1200
3,360,1814,4,0,1200.86,1200
3,360,1814,5,0,1200,1200
3,360,1814,6,10,945.88,1200
3,360,1814,7,10,0.28,1200
3,360,1814,8,10,27.95,1200
3,360,1814,9,10,26.63,1200
3,360,1814,15,10,0.01,1200
3,360,1814,16,0,1196.94,1200
3,360,1814,17,10,1132.14,1200
3,360,1814,18,10,15.41,1200
3,360,1814,19,10,21.6,1200
3,360,1814,20,0,0.72,1200
3,360,1814,21,10,356.08,1200
3,360,1814,22,10,0.18,1200
3,360,1814,24,0,9.95,1200
3,360,1814,25,10,1.87,1200
3,360,1814,26,10,130.02,1200
3,360,1814,27,10,0.12,1200
3,360,1814,28,10,0.12,1200
3,360,1814,31,10,0.14,1200
3,360,1814,32,10,0.76,1200
3,360,1814,33,10,25.92,1200
3,360,1814,34,10,15.77,1200
3,360,1814,36,0,1200,1200
3,360,1814,37,10,102.24,1200
3,360,1814,38,10,31.84,1200
3,360,1814,39,10,35.57,1200
3,360,1814,40,10,356.79,1200
3,360,1814,41,10,5.42,1200
3,360,1814,42,10,0,1200
3,360,1815,1,0,1200,1200
3,360,1815,2,0,1200.86,1200
3,360,1815,3,0,1200.61,1200
3,360,1815,4,0,1200.2,1200
3,360,1815,5,0,1200,1200
